	Movie ID	Genre	Name	Year	Director	Cast	imDB rating	label
1551	3016	Horror	Creepshow	1982	George A. Romero	Hal Holbrook, Adrienne Barbeau	6.8	0
1555	3024	Horror|Sci-Fi	Piranha	1978	Joe Dante	Bradford Dillman, Heather Menzies-Urich	5.9	0
1556	3025	Western	Rough Night in Jericho	1967	Arnold Laven	Dean Martin, George Peppard	6.4	0
1559	3030	Comedy|Drama|Western	Yojimbo	1961	Akira Kurosawa	Toshir Mifune, Tatsuya Nakadai	8.3	0
1560	3034	Animation|Children's	Robin Hood	1973	Wolfgang Reitherman	Roger Miller, Peter Ustinov	7.6	0
1562	3036	Adventure	Quest for Fire	1981	Jean-Jacques Annaud	Everett McGill, Ron Perlman	7.4	0
1563	3035	Comedy|Drama|War	Mister Roberts	1955	John Ford,Mervyn LeRoy	Henry Fonda, James Cagney	7.8	0
1565	3037	Comedy|Drama|Western	Little Big Man	1970	Arthur Penn	Dustin Hoffman, Faye Dunaway	7.7	0
1568	3044	Mystery|Romance|Thriller	Dead Again	1991	Kenneth Branagh	Kenneth Branagh, Andy Garcia	7.0	0
1569	3045	Comedy|Drama	Peter's Friends	1992	Kenneth Branagh	Hugh Laurie, Kenneth Branagh	7.0	0
1576	3055	Thriller	Felicia's Journey	1999	Atom Egoyan	Bob Hoskins, Arsine Khanjian	7.0	0
1578	3056	Thriller	Oxygen	1999	Richard Shepard	Maura Tierney, Adrien Brody	6.1	0
1579	3063	Thriller	Poison Ivy	1992	Katt Shea	Sara Gilbert, Drew Barrymore	5.3	0
1580	3066	War	Tora! Tora! Tora!	1970	Richard Fleischer,Kinji Fukasaku	Martin Balsam, S Yamamura	7.5	0
1582	3067	Comedy|Drama	Women on the Verge of a Nervous Breakdown	1988	Pedro Almodvar	Carmen Maura, Antonio Banderas	7.6	0
1584	3074	Western	Jeremiah Johnson	1972	Sydney Pollack	Robert Redford, Will Geer	7.6	0
1585	3075	Thriller	Repulsion	1965	Roman Polanski	Catherine Deneuve, Ian Hendry	7.8	0
1589	3083	Comedy|Drama	All About My Mother	1999	Pedro Almodvar	Cecilia Roth, Marisa Paredes	7.9	0
1595	3101	Thriller	Fatal Attraction	1987	Adrian Lyne	Michael Douglas, Glenn Close	6.9	0
1596	3102	Thriller	Jagged Edge	1985	Richard Marquand	Maria Mayenzet, Peter Coyote	6.4	0
1601	3113	Action|Thriller	End of Days	1999	Peter Hyams	Arnold Schwarzenegger, Gabriel Byrne	5.7	0
1607	3124	Comedy|Drama	Agnes Browne	1999	Anjelica Huston	Anjelica Huston, Marion O'Dwyer	6.5	0
1609	3129	Comedy|Drama	Sweet and Lowdown	1999	Woody Allen	Woody Allen, Ben Duncan	7.3	0
1613	3139	Action|Adventure	Tarzan the Fearless	1933	Robert F. Hill	Buster Crabbe, Julie Bishop	5.3	0
1616	3149	Mystery	Diamonds	1999	John Asher	Kirk Douglas, Dan Aykroyd	5.4	0
1617	3156	Comedy|Drama|Sci-Fi	Bicentennial Man	1999	Chris Columbus	Robin Williams, Embeth Davidtz	6.8	0
1622	3162	Comedy|Drama	Simpatico	1999	Matthew Warchus	Nick Nolte, Jeff Bridges	4.5	0
1625	3166	Adventure	Brenda Starr	1989	Robert Ellis Miller	Brooke Shields, Timothy Dalton	4.6	0
1627	3170	Western	Hi-Yo Silver	1940	John English,William Witney	Chief Thundercloud, Lynne Roberts	6.6	0
1630	3172	Adventure	Ulysses	1954	Mario Camerini	Kirk Douglas, Silvana Mangano	6.7	0
1632	3174	Comedy|Drama	Man on the Moon	1999	Milos Forman	Jim Carrey, Gerry Becker	7.4	0
1637	3190	Adventure|Sci-Fi	Supernova	2000	Walter Hill	James Spader, Angela Bassett	4.8	0
1641	3203	Thriller	Dead Calm	1989	Phillip Noyce	Nicole Kidman, Sam Neill	6.8	0
1643	3206	Romance	Against All Odds	1984	Taylor Hackford	Rachel Ward, Jeff Bridges	5.9	0
1644	3205	Horror	Black Sunday	1960	Mario Bava	Barbara Steele, John Richardson	7.3	0
1646	3213	Animation|Children's	Batman: Mask of the Phantasm	1993	Eric Radomski,Bruce W. Timm	Kevin Conroy, Dana Delany	7.9	0
1651	3219	Thriller	Pacific Heights	1990	John Schlesinger	Melanie Griffith, Matthew Modine	6.4	0
1658	3236	Western	Zachariah	1971	George Englund	John Rubinstein, Patricia Quinn	5.8	0
1660	3238	Thriller	Eye of the Beholder	1999	Stephan Elliott	Ewan McGregor, Ashley Judd	4.9	0
1668	3256	Action|Thriller	Patriot Games	1992	Phillip Noyce	Harrison Ford, Anne Archer	6.9	0
1676	3269	Adventure|Romance|Sci-Fi	Forever Young	1992	Steve Miner	Mel Gibson, Jamie Lee Curtis	6.2	0
1678	3274	Action	Single White Female	1992	Barbet Schroeder	Bridget Fonda, Jennifer Jason Leigh	6.3	0
1681	3283	Action	Minnie and Moskowitz	1971	John Cassavetes	Gena Rowlands, Seymour Cassel	7.5	0
1686	3294	Horror	Eaten Alive	1976	Tobe Hooper	Neville Brand, Mel Ferrer	5.4	0
1690	3299	Comedy|Drama	Hanging Up	2000	Diane Keaton	Meg Ryan, Diane Keaton	4.7	0
1691	3297	Documentary	With Byrd at the South Pole	1930		Richard E. Byrd, Clair D. Alexander	7.2	0
1692	3300	Action|Sci-Fi	Pitch Black	2000	David Twohy	Vin Diesel, Radha Mitchell	7.1	0
1694	3307	Comedy|Drama|Romance	City Lights	1931	Charles Chaplin	Virginia Cherrill, Florence Lee	8.6	0
1696	3315	Musical	Happy Go Lovely	1951	H. Bruce Humberstone	David Niven, Vera-Ellen	6.5	0
1697	3316	Action|Thriller	Reindeer Games	2000	John Frankenheimer	Ben Affleck, James Frain	5.7	0
1699	3317	Comedy|Drama	Wonder Boys	2000	Curtis Hanson	Michael Douglas, Tobey Maguire	7.4	0
1711	3338	Documentary	For All Mankind	1989	Al Reinert	Jim Lovell, Russell Schweickart	8.2	0
1712	3339	War	Cross of Iron	1977	Sam Peckinpah	James Coburn, Maximilian Schell	7.5	0
1713	3344	Horror	Blood Feast	1963	Herschell Gordon Lewis	William Kerwin, Mal Arnold	5.0	0
1714	3346	Horror	Color Me Blood Red	1965	Herschell Gordon Lewis	Gordon Oas-Heim, Candi Conder	5.3	0
1716	3354	Sci-Fi	Mission to Mars	2000	Brian De Palma	Gary Sinise, Tim Robbins	5.6	0
1717	3351	Horror	Two Thousand Maniacs!	1964	Herschell Gordon Lewis	Connie Mason, William Kerwin	5.9	0
1719	3356	Documentary	Condo Painting	2000	John McNaughton	Patrick Achdjian, William S. Burroughs	7.1	0
1722	3362	Comedy|Crime|Drama	Dog Day Afternoon	1975	Sidney Lumet	Penelope Allen, Sully Boyar	8.0	0
1724	3363	Comedy|Drama	American Graffiti	1973	George Lucas	Richard Dreyfuss, Ron Howard	7.5	0
1728	3375	Sci-Fi	Destination Moon	1950	Irving Pichel	John Archer, Warner Anderson	6.4	0
1729	3373	Western	Buck and the Preacher	1972	Sidney Poitier,Joseph Sargent	Sidney Poitier, Harry Belafonte	6.4	0
1730	3380	Film-Noir	Railroaded!	1947	Anthony Mann	John Ireland, Sheila Ryan	6.7	0
1732	3381	Comedy|Drama	Slaves to the Underground	1997	Kristine Peterson	Molly Gross, Jason Bortz	5.2	0
1737	3389	Action|Adventure	Let's Get Harry	1986	Stuart Rosenberg	Fidel Abrego, Jere Burns	5.2	0
1739	3390	Adventure	Shanghai Surprise	1986	Jim Goddard	Sean Penn, Madonna	3.0	0
1744	3400	Animation|Children's	We're Back! A Dinosaur's Story	1993	Phil Nibbelink,Simon Wells	John Goodman, Blaze Berdahl	6.1	0
1749	3410	Comedy|Drama	Soft Fruit	1999	Christina Andreef	Jeanie Drynan, Linal Haft	6.7	0
1751	3414	Romance	Love Is a Many-Splendored Thing	1955	Henry King,Otto Lang	William Holden, Jennifer Jones	6.6	0
1756	3424	Comedy|Drama	Do the Right Thing	1989	Spike Lee	Danny Aiello, Ossie Davis	7.9	0
1758	3427	Crime	Coogan's Bluff	1968	Don Siegel	Clint Eastwood, Lee J. Cobb	6.5	0
1763	3435	Crime|Film-Noir	Double Indemnity	1944	Billy Wilder	Fred MacMurray, Barbara Stanwyck	8.4	0
1766	3440	Action|Children's|Fantasy	Teenage Mutant Ninja Turtles III	1993	Stuart Gillard	Elias Koteas, Paige Turco	4.8	0
1767	3441	Action|War	Red Dawn	1984	John Milius	Patrick Swayze, C. Thomas Howell	6.3	0
1768	3439	Action|Children's|Fantasy	Teenage Mutant Ninja Turtles II: The Secret of the Ooze	1991	Michael Pressman	Paige Turco, David Warner	6.0	0
1769	3442	Action	Band of the Hand	1986	Paul Michael Glaser	Stephen Lang, Michael Carmine	6.3	0
1771	3444	Action	Bloodsport	1988	Newt Arnold	Jean-Claude Van Damme, Donald Gibb	6.8	0
1772	3445	Mystery|Thriller	Eyes of Laura Mars	1978	Irvin Kershner	Faye Dunaway, Tommy Lee Jones	6.1	0
1776	3452	Action|Romance	Romeo Must Die	2000	Andrzej Bartkowiak	Jet Li, Aaliyah	6.1	0
1777	3451	Comedy|Drama	Guess Who's Coming to Dinner	1967	Stanley Kramer	Spencer Tracy, Sidney Poitier	7.8	0
1788	3474	Sci-Fi|Thriller	Retroactive	1997	Louis Morneau	James Belushi, Kylie Travis	6.3	0
1790	3477	Comedy|Drama	Empire Records	1995	Allan Moyle	Anthony LaPaglia, Maxwell Caulfield	6.7	0
1791	3479	Adventure|Fantasy|Romance	Ladyhawke	1985	Richard Donner	Matthew Broderick, Rutger Hauer	7.0	0
1792	3476	Horror|Mystery|Thriller	Jacob's Ladder	1990	Adrian Lyne	Tim Robbins, Elizabeth Pea	7.5	0
1796	3485	Horror	Autopsy	1975	Armando Crispino	Mimsy Farmer, Barry Primus	5.9	0
1797	3489	Adventure|Fantasy	Hook	1991	Steven Spielberg	Dustin Hoffman, Robin Williams	6.7	0
1799	3493	Horror	Torso	1973	Sergio Martino	Suzy Kendall, Tina Aumont	6.6	0
1800	3494	Adventure|Western	True Grit	1969	Henry Hathaway	John Wayne, Glen Campbell	7.4	0
1802	3495	Comedy|Drama	Roadside Prophets	1992	Abbe Wool	John Doe, David Anthony Marshall	6.5	0
1804	3499	Horror	Misery	1990	Rob Reiner	James Caan, Kathy Bates	7.8	0
1808	3500	Comedy|Drama	Mr. Saturday Night	1992	Billy Crystal	Billy Crystal, David Paymer	5.8	0
1809	3505	Thriller	No Way Out	1987	Roger Donaldson	Kevin Costner, Gene Hackman	7.1	0
1810	3506	Comedy|Drama	North Dallas Forty	1979	Ted Kotcheff	Nick Nolte, Mac Davis	7.0	0
1815	3521	Comedy|Crime|Drama	Mystery Train	1989	Jim Jarmusch	Masatoshi Nagase, Yki Kud	7.6	0
1817	3523	Action|Thriller	Taffin	1988	Francis Megahy	Pierce Brosnan, Ray McAnally	5.6	0
1819	3527	Action|Sci-Fi|Thriller	Predator	1987	John McTiernan	Arnold Schwarzenegger, Carl Weathers	7.8	0
1820	3526	Comedy|Drama	Parenthood	1989	Ron Howard	Steve Martin, Mary Steenburgen	7.0	0
1822	3531	Comedy|Drama|Romance	All the Vermeers in New York	1990	Jon Jost	Emmanuelle Chaulet, Katherine Bean	6.8	0
1824	3537	Comedy|Drama	Where the Money Is	2000	Marek Kanievska	Paul Newman, Linda Fiorentino	6.3	0
1826	3541	Action	Third World Cop	1999	Chris Browne	Paul Campbell, Mark Danvers	6.3	0
1827	3543	Comedy|Drama	Diner	1982	Barry Levinson	Steve Guttenberg, Daniel Stern	7.2	0
1832	3548	Comedy|Drama	Auntie Mame	1958	Morton DaCosta	Rosalind Russell, Forrest Tucker	8.0	0
1833	3549	Musical	Guys and Dolls	1955	Joseph L. Mankiewicz	Marlon Brando, Jean Simmons	7.3	0
1834	3551	Thriller	Marathon Man	1976	John Schlesinger	Dustin Hoffman, Laurence Olivier	7.5	0
1838	3565	Comedy|Drama	Where the Heart Is	2000	Matt Williams	Natalie Portman, Ashley Judd	6.8	0
1839	3572	Horror|Sci-Fi	Carnosaur	1993	Adam Simon,Darren Moloney	Diane Ladd, Raphael Sbarge	3.5	0
1844	3591	Comedy|Drama	Mr. Mom	1983	Stan Dragoti	Michael Keaton, Teri Garr	6.5	0
1846	3593	Action|Sci-Fi	Battlefield Earth	2000	Roger Christian	John Travolta, Barry Pepper	2.4	0
1851	3604	Musical	Gypsy	1962	Mervyn LeRoy	Rosalind Russell, Natalie Wood	7.2	0
1853	3607	Comedy|Drama|Western	One Little Indian	1973	Bernard McEveety	James Garner, Vera Miles	6.6	0
1855	3606	Musical	On the Town	1949	Stanley Donen,Gene Kelly	Gene Kelly, Frank Sinatra	7.6	0
1856	3609	Documentary	Regret to Inform	1998	Barbara Sonneborn	Xuan Ngoc Nguyen, Barbara Sonneborn	7.4	0
1857	3610	Musical	Roustabout	1964	John Rich	Elvis Presley, Barbara Stanwyck	5.9	0
1863	3625	Documentary	Better Living Through Circuitry	1999	Jon Reiss	Moby, Lord T. Byron	7.1	0
1864	3624	Action	Shanghai Noon	2000	Tom Dey	Jackie Chan, Owen Wilson	6.6	0
1865	3627	Horror|Thriller	Carnival of Souls	1962	Herk Harvey	Candace Hilligoss, Frances Feist	7.2	0
1867	3633	Action	On Her Majesty's Secret Service	1969	Peter R. Hunt	George Lazenby, Diana Rigg	6.8	0
1869	3634	Thriller	Seven Days in May	1964	John Frankenheimer	Burt Lancaster, Kirk Douglas	7.9	0
1870	3638	Action|Romance|Sci-Fi	Moonraker	1979	Lewis Gilbert	Roger Moore, Lois Chiles	6.3	0
1873	3644	Western	Dark Command	1940	Raoul Walsh	Claire Trevor, John Wayne	6.9	0
1874	3642	Western	In Old California	1942	William C. McGann	John Wayne, Binnie Barnes	6.4	0
1876	3656	Crime	Lured	1947	Douglas Sirk	George Sanders, Lucille Ball	7.0	0
1878	3661	Horror|Sci-Fi|Thriller	Puppet Master II	1990	David Allen	Elizabeth Maclellan, Collin Bernsen	5.4	0
1879	3662	Horror|Sci-Fi|Thriller	Puppet Master III: Toulon's Revenge	1991	David DeCoteau	Guy Rolfe, Richard Lynch	6.0	0
1880	3665	Horror|Sci-Fi|Thriller	Curse of the Puppet Master	1998	David DeCoteau	George Peck, Emily Harrison	3.9	0
1884	3673	Adventure|Children's	Benji the Hunted	1987	Joe Camp	Benjean, Frank Inn	6.3	0
1885	3675	Musical	White Christmas	1954	Michael Curtiz	Bing Crosby, Danny Kaye	7.6	0
1886	3674	Adventure|Children's	For the Love of Benji	1977	Joe Camp	Benjean, Art Vasil	5.9	0
1887	3677	Documentary	Baraka	1992	Ron Fricke		8.6	0
1888	3672	Adventure|Children's	Benji	1974	Joe Camp	Patsy Garrett, Allen Fiuzat	6.1	0
1890	3682	Western	Magnum Force	1973	Ted Post	Clint Eastwood, Hal Holbrook	7.2	0
1891	3681	Western	For a Few Dollars More	1965	Sergio Leone	Clint Eastwood, Lee Van Cleef	8.3	0
1892	3686	Thriller	Flatliners	1990	Joel Schumacher	Kiefer Sutherland, Julia Roberts	6.5	0
1893	3685	Comedy|Drama|Romance	Prizzi's Honor	1985	John Huston	Jack Nicholson, Kathleen Turner	6.8	0
1901	3705	Action|Adventure|Romance|Thriller	Bird on a Wire	1990	John Badham	Mel Gibson, Goldie Hawn	5.9	0
1902	3704	Action|Sci-Fi	Mad Max Beyond Thunderdome	1985	George Miller,George Ogilvie	Mel Gibson, Bruce Spence	6.2	0
1903	3706	Film-Noir|Mystery|Thriller	Angel Heart	1987	Alan Parker	Mickey Rourke, Robert De Niro	7.3	0
1905	3709	Horror	Sleepwalkers	1992	Mick Garris	Brian Krause, Mdchen Amick	5.1	0
1906	3708	Horror|Thriller	Firestarter	1984	Mark L. Lester	David Keith, Drew Barrymore	6.0	0
1912	3716	Action|Crime	Fatal Beauty	1987	Tom Holland	Whoopi Goldberg, Sam Elliott	5.3	0
1913	3718	Documentary	American Pimp	1999	Albert Hughes,Allen Hughes	Too $hort, John S. Dickson	6.6	0
1917	3725	Animation|Musical	American Pop	1981	Ralph Bakshi	Ron Thompson, Mews Small	7.2	0
1927	3744	Action|Crime	Shaft	2000	John Singleton	Samuel L. Jackson, Vanessa Williams	5.9	0
1928	3745	Adventure|Animation|Sci-Fi	Titan A.E.	2000	Don Bluth,Gary Goldman	Matt Damon, Bill Pullman	6.6	0
1932	3757	Horror	Asylum	1972	Roy Ward Baker	Barbara Parkins, Richard Todd	6.5	0
1934	3763	Action|Crime|Thriller	F/X	1986	Robert Mandel	Bryan Brown, Brian Dennehy	6.6	0
1935	3766	Action|War	Missing in Action	1984	Joseph Zito	Chuck Norris, M. Emmet Walsh	5.3	0
1936	3768	Action|War	Braddock: Missing in Action III	1988	Aaron Norris	Chuck Norris, Aki Aleong	4.6	0
1937	3770	Adventure|Crime|Sci-Fi|Thriller	Dreamscape	1984	Joseph Ruben	Dennis Quaid, Max von Sydow	6.3	0
1938	3769	Action	Thunderbolt and Lightfoot	1974	Michael Cimino	Clint Eastwood, Jeff Bridges	7.1	0
1940	3776	Animation|Children's|Musical	Melody Time	1948	Clyde Geronimi,Wilfred Jackson	Roy Rogers, Trigger	6.5	0
1941	3775	Animation|Children's|Musical	Make Mine Music	1946	Robert Cormack,Clyde Geronimi	Nelson Eddy, Dinah Shore	6.5	0
1942	3778	Comedy|Drama	On Our Merry Way	1948	Leslie Fenton,King Vidor	Paulette Goddard, James Stewart	6.0	0
1944	3779	Sci-Fi	Project Moon Base	1953	Richard Talmadge	Donna Martell, Hayden Rorke	2.7	0
1945	3782	Action|Crime	Shaft's Big Score!	1972	Gordon Parks	Richard Roundtree, Moses Gunn	6.1	0
1946	3781	Action|Crime	Shaft in Africa	1973	John Guillermin	Richard Roundtree, Frank Finlay	5.9	0
1948	3780	Sci-Fi	Rocketship X-M	1950	Kurt Neumann	Lloyd Bridges, Osa Massen	4.9	0
1951	3792	Western	Duel in the Sun	1946	King Vidor,Otto Brower	Jennifer Jones, Joseph Cotten	6.9	0
1952	3793	Action|Sci-Fi	X-Men	2000	Bryan Singer	Hugh Jackman, Patrick Stewart	7.4	0
1953	3798	Thriller	What Lies Beneath	2000	Robert Zemeckis	Michelle Pfeiffer, Katharine Towne	6.6	0
1956	3802	Action|Sci-Fi	Freejack	1992	Geoff Murphy	Emilio Estevez, Mick Jagger	5.3	0
1960	3807	Action|Adventure	Sinbad and the Eye of the Tiger	1977	Sam Wanamaker	Patrick Wayne, Taryn Power	6.3	0
1967	3820	Children's	Thomas and the Magic Railroad	2000	Britt Allcroft	Alec Baldwin, Cody McMains	3.6	0
1970	3827	Action|Sci-Fi	Space Cowboys	2000	Clint Eastwood	Clint Eastwood, Tommy Lee Jones	6.4	0
1976	3838	Horror	Phantasm III: Lord of the Dead	1994	Don Coscarelli	Reggie Bannister, A. Michael Baldwin	6.0	0
1977	3837	Horror	Phantasm II	1988	Don Coscarelli	James Le Gros, Reggie Bannister	6.5	0
1978	3839	Horror	Phantasm IV: Oblivion	1998	Don Coscarelli	A. Michael Baldwin, Reggie Bannister	5.7	0
1979	3840	Horror	Pumpkinhead	1988	Stan Winston	Lance Henriksen, Jeff East	6.2	0
1981	3843	Horror	Sleepaway Camp	1983	Robert Hiltzik	Felissa Rose, Jonathan Tiersten	6.2	0
1986	3857	Thriller	Bless the Child	2000	Chuck Russell	Kim Basinger, Jimmy Smits	5.1	0
1992	3877	Action|Adventure|Fantasy	Supergirl	1984	Jeannot Szwarc	Faye Dunaway, Helen Slater	4.3	0
1993	3881	Documentary	Bittersweet Motel	2000	Todd Phillips	Trey Anastasio, Jon Fishman	8.1	0
1995	3889	Action|Adventure|Fantasy	Highlander: Endgame	2000	Douglas Aarniokoski	Adrian Paul, Christopher Lambert	4.6	0
1999	3892	Horror	Anatomy	2000	Stefan Ruzowitzky	Franka Potente, Benno Frmann	6.1	0
2001	3897	Comedy|Drama	Almost Famous	2000	Cameron Crowe	Billy Crudup, Frances McDormand	7.9	0
2003	3906	Crime	Under Suspicion	2000	Stephen Hopkins	Gene Hackman, Morgan Freeman	6.5	0
2007	3908	Horror	Urban Legends: Final Cut	2000	John Ottman	Jennifer Morrison, Matthew Davis	4.1	0
2009	3913	Documentary	Barenaked in America	1999	Jason Priestley	Steven Page, Ed Robertson	7.3	0
2012	3919	Horror	Hellraiser III: Hell on Earth	1992	Anthony Hickox	Kevin Bernhardt, Lawrence Mortorff	5.4	0
2013	3918	Horror	Hellbound: Hellraiser II	1988	Tony Randel	Clare Higgins, Ashley Laurence	6.5	0
2015	3923	Horror|Sci-Fi	Return of the Fly	1959	Edward Bernds	Vincent Price, Brett Halsey	5.7	0
2018	3926	Adventure|Sci-Fi	Voyage to the Bottom of the Sea	1961	Irwin Allen	Walter Pidgeon, Joan Fontaine	6.1	0
2019	3927	Adventure|Sci-Fi	Fantastic Voyage	1966	Richard Fleischer	Stephen Boyd, Raquel Welch	6.9	0
2021	3934	Sci-Fi	Kronos	1957	Kurt Neumann	Jeff Morrow, Barbara Lawrence	5.9	0
2022	3937	Sci-Fi|Thriller	Runaway	1984	Michael Crichton	Tom Selleck, Cynthia Rhodes	5.9	0
2023	3941	Horror	Sorority House Massacre	1986	Carol Frank	Angela O'Neill, Wendy Martel	4.3	0
2026	3944	Comedy|Drama	Bootmen	2000	Dein Perry	Vaughan Sheffield, Christian Patterson	6.2	0
2027	3947	Thriller	Get Carter	1971	Mike Hodges	Michael Caine, Ian Hendry	7.5	0
2029	3945	Adventure|Animation|Children's	Digimon: The Movie	2000	Mamoru Hosoda,Shigeyasu Yamauchi	Lara Jill Miller, Joshua Seth	5.9	0
